,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100,4s,6s,dismissal_kind,fielder
201,2008,14,1,Delhi Daredevils,V Sehwag,6,6.0,100.0,0,0,0,1.0,0.0,lbw,0
202,2008,14,1,Delhi Daredevils,VY Mahesh,6,5.0,120.0,0,0,0,0.0,0.0,0,0
203,2008,14,2,Kings XI Punjab,B Lee,1,3.0,33.33,0,0,0,0.0,0.0,0,0
204,2008,14,2,Kings XI Punjab,DPMD Jayawardene,15,14.0,107.14,0,0,0,2.0,0.0,caught and bowled,0
205,2008,14,2,Kings XI Punjab,IK Pathan,10,7.0,142.86,0,0,0,2.0,0.0,caught,KD Karthik
206,2008,14,2,Kings XI Punjab,K Goel,1,3.0,33.33,0,0,0,0.0,0.0,lbw,0
207,2008,14,2,Kings XI Punjab,KC Sangakkara,4,2.0,200.0,0,0,0,1.0,0.0,caught,KD Karthik
208,2008,14,2,Kings XI Punjab,SM Katich,75,52.0,144.23,1,1,0,11.0,1.0,run out,V Sehwag
209,2008,14,2,Kings XI Punjab,TM Srivastava,7,9.0,77.78,0,0,0,0.0,0.0,caught,KD Karthik
210,2008,14,2,Kings XI Punjab,Yuvraj Singh,40,29.0,137.93,1,0,0,3.0,2.0,0,0
211,2008,15,1,Chennai Super Kings,MEK Hussey,47,37.0,127.03,1,0,0,3.0,2.0,caught,R Dravid
212,2008,15,1,Chennai Super Kings,ML Hayden,13,19.0,68.42,0,0,0,2.0,0.0,bowled,0
213,2008,15,1,Chennai Super Kings,MS Dhoni,65,30.0,216.67,1,1,0,9.0,3.0,caught,R Vinay Kumar (sub)
214,2008,15,1,Chennai Super Kings,PA Patel,21,17.0,123.53,0,0,0,2.0,1.0,caught,JH Kallis
215,2008,15,1,Chennai Super Kings,SK Raina,28,17.0,164.71,0,0,0,1.0,2.0,run out,W Jaffer
216,2008,15,2,Royal Challengers Bangalore,B Akhil,2,3.0,66.67,0,0,0,0.0,0.0,0,0
217,2008,15,2,Royal Challengers Bangalore,B Chipli,8,11.0,72.73,0,0,0,1.0,0.0,bowled,0
218,2008,15,2,Royal Challengers Bangalore,DW Steyn,1,2.0,50.0,0,0,0,0.0,0.0,caught,MEK Hussey
219,2008,15,2,Royal Challengers Bangalore,JH Kallis,14,10.0,140.0,0,0,0,2.0,0.0,caught,MS Dhoni
220,2008,15,2,Royal Challengers Bangalore,LRPL Taylor,53,34.0,155.88,1,1,0,3.0,3.0,caught,SK Raina
221,2008,15,2,Royal Challengers Bangalore,MV Boucher,4,6.0,66.67,0,0,0,0.0,0.0,caught,MEK Hussey
222,2008,15,2,Royal Challengers Bangalore,P Kumar,6,5.0,120.0,0,0,0,0.0,0.0,run out,Joginder Sharma
223,2008,15,2,Royal Challengers Bangalore,R Dravid,0,1.0,0.0,0,0,0,0.0,0.0,lbw,0
224,2008,15,2,Royal Challengers Bangalore,V Kohli,12,7.0,171.43,0,0,0,2.0,0.0,bowled,0
225,2008,15,2,Royal Challengers Bangalore,W Jaffer,50,33.0,151.52,1,1,0,5.0,2.0,caught,JDP Oram
226,2008,15,2,Royal Challengers Bangalore,Z Khan,8,6.0,133.33,0,0,0,1.0,0.0,run out,SK Raina
227,2008,16,1,Kolkata Knight Riders,AB Agarkar,2,6.0,33.33,0,0,0,0.0,0.0,caught,A Nehra
228,2008,16,1,Kolkata Knight Riders,BB McCullum,1,2.0,50.0,0,0,0,0.0,0.0,lbw,0
229,2008,16,1,Kolkata Knight Riders,DB Das,29,20.0,145.0,0,0,0,5.0,1.0,caught,RV Uthappa
230,2008,16,1,Kolkata Knight Riders,DJ Hussey,17,20.0,85.0,0,0,0,3.0,0.0,caught,A Nehra
231,2008,16,1,Kolkata Knight Riders,LR Shukla,40,22.0,181.82,1,0,0,4.0,2.0,0,0
232,2008,16,1,Kolkata Knight Riders,M Kartik,10,11.0,90.91,0,0,0,1.0,0.0,caught,ST Jayasuriya
233,2008,16,1,Kolkata Knight Riders,Mohammad Hafeez,2,6.0,33.33,0,0,0,0.0,0.0,caught,PR Shah
234,2008,16,1,Kolkata Knight Riders,RT Ponting,19,31.0,61.29,0,0,0,1.0,0.0,run out,AM Rahane
235,2008,16,1,Kolkata Knight Riders,SC Ganguly,4,2.0,200.0,0,0,0,1.0,0.0,caught,ST Jayasuriya
236,2008,16,2,Mumbai Indians,AM Rahane,4,10.0,40.0,0,0,0,1.0,0.0,caught,DJ Hussey
237,2008,16,2,Mumbai Indians,DJ Bravo,64,53.0,120.75,1,1,0,8.0,1.0,0,0
238,2008,16,2,Mumbai Indians,MK Pandey,0,3.0,0.0,0,0,0,0.0,0.0,bowled,0
239,2008,16,2,Mumbai Indians,RV Uthappa,37,37.0,100.0,1,0,0,5.0,0.0,0,0
240,2008,16,2,Mumbai Indians,ST Jayasuriya,18,10.0,180.0,0,0,0,3.0,1.0,bowled,0
